model_name,total_constraints,score_mean,score_std,score_min,score_max,numerical_constraints,unique_constraint_types,avg_domains_per_constraint,percentage_of_total,total_constraints_normalized,score_mean_normalized,numerical_constraints_normalized,unique_constraint_types_normalized,percentage_of_total_normalized,composite_score
gpt-4o-mini,618,0.0921,0.0253,0.05,0.1834,618,10,2.0663,29.33,0.9151785714285714,0.626666666666667,0.9151785714285714,1.0,0.9150470219435737,0.8413416368114645
gemini-1.5-pro,675,0.0918,0.0242,0.0503,0.1902,675,8,2.5926,32.04,1.0,0.6066666666666675,1.0,0.7142857142857143,1.0,0.8391428571428573
deepseek-chat,596,0.095,0.0294,0.0503,0.1888,596,4,1.9463,28.29,0.8824404761904762,0.8200000000000004,0.8824404761904762,0.14285714285714285,0.8824451410658307,0.7527710665771012
claude-3-haiku-20240307,131,0.0977,0.0281,0.0501,0.1875,131,6,1.2901,6.22,0.19047619047619047,1.0,0.19047619047619047,0.42857142857142855,0.19059561128526648,0.4690535900880728
gemini-2.5-flash,29,0.0968,0.0209,0.0569,0.1382,29,5,3.4483,1.38,0.03869047619047619,0.9400000000000002,0.03869047619047619,0.2857142857142857,0.03887147335423197,0.3461459546200926
gpt-4.1,29,0.096,0.0212,0.0637,0.1502,29,3,2.931,1.38,0.03869047619047619,0.8866666666666672,0.03869047619047619,0.0,0.03887147335423197,0.28728881176294985
gpt-4.1-mini,3,0.0926,0.0204,0.069,0.1053,3,3,2.6667,0.14,0.0,0.6600000000000005,0.0,0.0,0.0,0.19800000000000015
deepseek-reasoner,18,0.0886,0.0247,0.0578,0.1323,18,4,1.2778,0.85,0.022321428571428572,0.39333333333333353,0.022321428571428572,0.14285714285714285,0.02225705329153605,0.1517021383788626
gemini-2.5-pro,8,0.0827,0.0211,0.0561,0.1163,8,3,3.125,0.38,0.00744047619047619,0.0,0.00744047619047619,0.0,0.007523510971786834,0.004096413643827437
