YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 06  96  1.7  2.1  0.58  4.76  4.34 999 1019.6   8.0   7.5   6.5 99.0 99.00
2004 01 03 07 128  3.2  3.7  0.50  4.55  4.23 999 1018.8   7.8   7.5   6.7 99.0 99.00
2004 01 03 08 150  3.3  3.6  0.50  4.55  4.43 999 1018.7   8.2   7.6   6.9 99.0 99.00
2004 01 03 09 146  4.9  5.4  0.49  4.76  4.49 999 1017.8   8.4   7.5   7.4 99.0 99.00
2004 01 03 10 155  5.7  6.6  0.53  4.55  4.61 999 1017.2   8.9   7.6   8.0 99.0 99.00
2004 01 03 11 175  6.5  7.8  0.57  4.76  4.34 999 1016.9   9.2   7.6   7.0 99.0 99.00
2004 01 03 12 191  6.4  7.8  0.60  4.76  3.75 999 1016.4   9.1   7.6   6.2 99.0 99.00
2004 01 03 13 205  6.8  7.8  0.64  5.26  3.91 999 1016.7   9.1   7.6   5.9 99.0 99.00
2004 01 03 14 197  8.2  9.6  0.74  3.03  3.81 999 1016.4   9.0   7.6   5.9 99.0 99.00
2004 01 03 15 211  7.3  8.7  0.79  4.17  3.88 999 1017.2   8.9   7.7   6.0 99.0 99.00
2004 01 03 16 210  6.8  7.8  0.90  4.35  3.90 999 1016.5   8.8   7.7   6.1 99.0 99.00
2004 01 03 17 212  7.7  8.7  0.95  4.35  4.05 999 1015.2   8.7   7.7   6.2 99.0 99.00
2004 01 03 18 214  6.3  7.2  0.94  4.55  4.15 999 1014.4   9.1   7.8   6.3 99.0 99.00
2004 01 03 19 211  6.4  7.3  0.97  4.76  4.17 999 1013.8   9.8   7.9   6.7 99.0 99.00
2004 01 03 20 210  4.4  5.2  0.93  4.55  4.24 999 1014.0   9.8   7.9   6.7 99.0 99.00
2004 01 03 21 202  6.0  7.1  0.98  5.26  4.31 999 1013.9   9.9   7.9   6.9 99.0 99.00
2004 01 03 22 212  4.9  5.6  1.02  5.00  4.47 999 1014.1   9.4   7.8   7.3 99.0 99.00
2004 01 03 23 209  6.6  7.3  1.04  5.56  4.56 999 1013.9   9.9   7.8   7.5 99.0 99.00
2004 01 04 00 207  6.4  7.1  0.94  5.56  4.46 999 1014.0   9.8   7.8   7.5 99.0 99.00
2004 01 04 01 212  7.2  8.1  0.87  5.88  4.38 999 1014.3  10.3   7.8   7.7 99.0 99.00
2004 01 04 02 203  7.4  8.5  0.94  5.26  4.28 999 1014.2   9.9   7.9   7.7 99.0 99.00
2004 01 04 03 207  7.3  8.1  1.06  5.88  4.40 999 1014.2  10.0   7.8   7.7 99.0 99.00
2004 01 04 04 210  6.0  6.8  1.00  5.56  4.22 999 1014.1   9.7   7.5   7.6 99.0 99.00
2004 01 04 05 205  6.7  7.9  0.97  5.26  4.38 999 1013.5   9.7   7.5   7.8 99.0 99.00
2004 01 04 06 209  6.5  7.3  1.00  5.56  4.32 999 1012.9   9.6   7.6   7.9 99.0 99.00
2004 01 04 07 214  6.6  7.3  1.06  5.56  4.34 999 1013.1   9.6   7.5   8.0 99.0 99.00
2004 01 04 08 209  7.6  8.6  1.09  5.56  4.28 999 1013.0   9.9   7.5   8.3 99.0 99.00
2004 01 04 09 212  7.5  8.2  1.05  5.00  4.15 999 1012.7   9.7   7.5   8.3 99.0 99.00
2004 01 04 10 213  7.6  8.4  1.06  5.56  4.17 999 1012.4   9.6   7.5   8.3 99.0 99.00
2004 01 04 11 211  7.2  8.1  1.10  5.88  4.38 999 1012.5   9.5   7.5   8.3 99.0 99.00
2004 01 04 12 211  6.5  7.4  1.19  5.88  4.55 999 1012.5   9.4   7.4   8.3 99.0 99.00
2004 01 04 13 211  6.8  7.5  1.10  5.88  4.60 999 1012.9   9.5   7.4   8.4 99.0 99.00
2004 01 04 14 210  6.6  7.4  1.03  6.25  4.61 999 1013.1   9.7   7.4   8.6 99.0 99.00
2004 01 04 15 210  7.5  8.4  1.02  5.88  4.70 999 1013.4   9.8   7.2   8.7 99.0 99.00
2004 01 04 16 211  6.1  6.9  0.99  5.56  4.65 999 1013.2   9.4   7.2   8.4 99.0 99.00
2004 01 04 17 205  5.8  6.6  1.00  5.88  4.71 999 1012.2   9.5   7.2   8.4 99.0 99.00
2004 01 04 18 210  7.7  9.2  1.04  5.88  4.52 999 1011.7   9.9   7.3   8.6 99.0 99.00
2004 01 04 19 206  7.2  8.1  1.06  5.00  4.43 999 1011.0   9.9   7.3   8.5 99.0 99.00
2004 01 04 20 204  6.9  8.3  1.11  5.56  4.56 999 1010.3  10.0   7.4   8.7 99.0 99.00
2004 01 04 21 203  7.0  8.0  1.16  6.25  4.51 999 1011.0  10.1   7.5   8.7 99.0 99.00
2004 01 04 22 332  2.7  4.5  1.18  5.56  4.63 999 1011.8   9.3   7.5   8.2 99.0 99.00
2004 01 04 23 333  2.7  3.6  1.09  6.25  4.70 999 1012.3   9.4   7.4   8.3 99.0 99.00
2004 01 05 00  51  5.9  6.9  1.04  5.88  4.93 999 1012.2   8.3   7.4   7.6 99.0 99.00
2004 01 05 01  66  5.3  6.3  1.23  6.67  5.11 999 1012.0   8.1   7.5   7.6 99.0 99.00
2004 01 05 02  40  4.0  4.6  1.05  6.25  4.72 999 1011.9   7.9   7.5   7.4 99.0 99.00
2004 01 05 03  32  5.1  6.2  1.05  6.67  4.76 999 1012.2   8.0   7.6   7.6 99.0 99.00
2004 01 05 04  52  4.7  5.8  1.01  6.25  4.73 999 1011.7   8.1   7.7   7.7 99.0 99.00
2004 01 05 05  69  3.8  4.7  1.08  6.25  4.59 999 1010.8   7.9   7.7   7.6 99.0 99.00
2004 01 05 06  90  3.6  4.2  1.07  6.25  4.66 999 1010.3   7.9   7.8   7.5 99.0 99.00
2004 01 05 07 113  2.5  2.9  1.14  6.25  4.70 999 1010.1   8.4   7.8   8.1 99.0 99.00
2004 01 05 08 213  3.1  3.6  1.11  5.26  4.54 999 1009.7   9.4   7.8   9.1 99.0 99.00
2004 01 05 09 213  3.2  3.7  1.24  6.25  4.83 999 1008.9   8.8   7.9   8.5 99.0 99.00
