YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
91 01 03 12 999 99.0 99.0 00.70 11.10 05.90 999 1025.7  06.4  09.7 999.0 99.0
91 01 03 13 999 99.0 99.0 00.80 09.10 05.90 999 1026.3  06.3  09.7 999.0 99.0
91 01 03 14 999 99.0 99.0 00.90 09.10 06.20 999 1026.4  07.2  09.8 999.0 99.0
91 01 03 15 999 99.0 99.0 00.80 08.30 06.00 999 1026.7  09.0  09.8 999.0 99.0
91 01 03 16 999 99.0 99.0 00.80 09.10 06.40 999 1026.6  08.9  09.8 999.0 99.0
91 01 03 17 999 99.0 99.0 00.70 08.30 06.50 999 1026.6  08.1  10.1 999.0 99.0
91 01 03 18 999 99.0 99.0 00.70 07.70 06.80 999 1025.8  08.2  09.8 999.0 99.0
91 01 03 19 999 99.0 99.0 00.70 08.30 06.90 999 1025.9  06.7  09.8 999.0 99.0
91 01 03 20 999 99.0 99.0 00.70 07.70 06.90 999 1026.2  06.3  09.7 999.0 99.0
91 01 03 21 999 99.0 99.0 00.70 07.70 07.00 999 1026.6  06.0  09.7 999.0 99.0
91 01 03 22 999 99.0 99.0 00.70 07.70 06.80 999 1027.2  06.0  09.7 999.0 99.0
91 01 03 23 999 99.0 99.0 00.80 07.70 06.40 999 1027.5  06.0  09.7 999.0 99.0
91 01 04 00 999 99.0 99.0 00.70 07.70 06.20 999 1028.2  05.9  09.7 999.0 99.0
91 01 04 01 999 99.0 99.0 00.70 07.10 06.10 999 1028.2  05.9  09.7 999.0 99.0
91 01 04 02 999 99.0 99.0 00.70 10.00 06.40 999 1028.3  05.9  09.7 999.0 99.0
91 01 04 03 999 99.0 99.0 00.60 07.10 05.80 999 1028.8  05.8  09.7 999.0 99.0
91 01 04 04 999 99.0 99.0 00.70 07.10 06.10 999 1028.7  05.6  09.7 999.0 99.0
91 01 04 05 999 99.0 99.0 00.70 09.10 06.20 999 1028.9  05.2  09.7 999.0 99.0
91 01 04 06 999 99.0 99.0 00.70 10.00 05.90 999 1028.9  05.1  09.7 999.0 99.0
91 01 04 07 999 99.0 99.0 00.60 09.10 05.50 999 1029.6  04.8  09.7 999.0 99.0
91 01 04 08 999 99.0 99.0 00.60 10.00 05.10 999 1029.8  04.6  09.7 999.0 99.0
91 01 04 09 999 99.0 99.0 00.70 10.00 05.50 999 1030.3  04.4  09.7 999.0 99.0
91 01 04 10 999 99.0 99.0 00.80 10.00 04.60 999 1030.5  03.6  05.0 999.0 99.0
91 01 04 11 999 99.0 99.0 00.80 10.00 04.70 999 1030.9  03.1  05.0 999.0 99.0
91 01 04 12 999 99.0 99.0 00.90 04.20 04.50 999 1031.3  02.8  04.8 999.0 99.0
91 01 04 13 999 99.0 99.0 01.00 04.30 04.70 999 1031.8  02.1  05.1 999.0 99.0
91 01 04 14 999 99.0 99.0 01.00 04.80 04.70 999 1032.6  02.4  04.9 999.0 99.0
91 01 04 15 999 99.0 99.0 00.90 04.50 04.50 999 1033.0  02.3  05.1 999.0 99.0
91 01 04 16 999 99.0 99.0 01.10 04.50 04.50 999 1033.3  02.1  05.4 999.0 99.0
91 01 04 17 999 99.0 99.0 01.10 04.80 04.50 999 1032.9  02.0  05.6 999.0 99.0
91 01 04 18 999 99.0 99.0 01.10 04.50 04.40 999 1032.1  02.1  06.4 999.0 99.0
91 01 04 19 999 99.0 99.0 00.90 04.50 04.10 999 1032.0  02.4  06.3 999.0 99.0
91 01 04 20 999 99.0 99.0 01.00 04.50 04.20 999 1032.0  02.0  05.7 999.0 99.0
91 01 04 21 999 99.0 99.0 00.90 04.50 04.30 999 1032.8  02.3  05.1 999.0 99.0
91 01 04 22 999 99.0 99.0 00.70 10.00 04.40 999 1032.7  02.4  04.7 999.0 99.0
91 01 04 23 999 99.0 99.0 00.70 09.10 04.40 999 1033.2  02.5  04.4 999.0 99.0
91 01 05 00 999 99.0 99.0 00.60 09.10 04.90 999 1033.6  02.8  04.8 999.0 99.0
91 01 05 01 999 99.0 99.0 00.50 09.10 05.00 999 1033.7  02.8  05.6 999.0 99.0
91 01 05 02 999 99.0 99.0 00.60 09.10 05.40 999 1034.3  02.9  05.2 999.0 99.0
91 01 05 03 999 99.0 99.0 00.50 10.00 05.40 999 1034.4  03.1  04.8 999.0 99.0
91 01 05 04 999 99.0 99.0 00.50 10.00 06.10 999 1034.4  03.2  04.8 999.0 99.0
91 01 05 05 999 99.0 99.0 00.50 10.00 06.10 999 1034.4  03.5  04.7 999.0 99.0
91 01 05 06 999 99.0 99.0 00.50 10.00 06.40 999 1034.4  03.2  04.7 999.0 99.0
91 01 05 07 999 99.0 99.0 00.40 10.00 06.00 999 1034.5  03.2  04.6 999.0 99.0
91 01 05 08 999 99.0 99.0 00.50 09.10 06.40 999 1034.4  03.5  04.5 999.0 99.0
91 01 05 09 999 99.0 99.0 00.50 10.00 06.70 999 1033.6  03.5  04.7 999.0 99.0
91 01 05 10 999 99.0 99.0 00.50 10.00 06.00 999 1033.7  03.5  04.8 999.0 99.0
91 01 05 11 999 99.0 99.0 00.50 09.10 05.90 999 1033.8  03.6  04.7 999.0 99.0
91 01 05 12 999 99.0 99.0 00.50 10.00 06.40 999 1033.6  03.9  04.8 999.0 99.0
91 01 05 13 999 99.0 99.0 00.60 09.10 06.40 999 1034.4  04.3  04.8 999.0 99.0
91 01 05 14 999 99.0 99.0 00.60 09.10 06.10 999 1033.5  05.1  04.8 999.0 99.0
91 01 05 15 999 99.0 99.0 00.60 09.10 05.70 999 1034.4  05.9  04.8 999.0 99.0
91 01 05 16 999 99.0 99.0 00.60 10.00 05.90 999 1034.4  06.3  05.0 999.0 99.0
91 01 05 17 999 99.0 99.0 00.50 09.10 06.30 999 1032.1  06.6  05.1 999.0 99.0
91 01 05 18 999 99.0 99.0 00.60 09.10 06.40 999 1031.6  06.6  05.2 999.0 99.0
91 01 05 19 999 99.0 99.0 00.50 09.10 06.40 999 1030.6  06.7  05.1 999.0 99.0
91 01 05 20 999 99.0 99.0 00.50 09.10 06.40 999 1030.3  07.0 999.0 999.0 99.0
91 01 05 21 999 99.0 99.0 00.50 10.00 06.90 999 1030.3  07.1 999.0 999.0 99.0
91 01 05 22 999 99.0 99.0 00.50 09.10 06.70 999 1029.9  06.4 999.0 999.0 99.0
91 01 05 23 999 99.0 99.0 00.50 09.10 06.90 999 1029.8  06.7 999.0 999.0 99.0
91 01 06 00 999 99.0 99.0 00.50 09.10 06.70 999 1029.7  07.1 999.0 999.0 99.0
91 01 06 01 999 99.0 99.0 00.50 09.10 06.50 999 1028.8  07.4 999.0 999.0 99.0
91 01 06 02 999 99.0 99.0 00.50 09.10 06.30 999 1028.1  07.9 999.0 999.0 99.0
