YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 03 04 340 13.6 17.3  2.41  5.88  4.99 999 1027.5  -1.3   4.9  -7.3 99.0 99.00
2001 01 03 05 349 13.6 16.4  2.16  5.88  4.90 999 1027.2  -1.5   5.0  -7.7 99.0 99.00
2001 01 03 06 342 12.3 15.1  1.97  5.26  4.68 999 1027.0  -1.6   5.0  -8.1 99.0 99.00
2001 01 03 07 337 11.9 14.5  1.87  5.26  4.61 999 1027.3  -1.5   5.0  -7.8 99.0 99.00
2001 01 03 08 333 11.1 14.0  1.75  5.26  4.54 999 1027.5  -1.5   5.0  -7.4 99.0 99.00
2001 01 03 09 325 10.6 12.8  1.84  4.76  4.58 999 1026.7  -1.8   5.0  -6.8 99.0 99.00
2001 01 03 10 324  9.0 11.7  1.78  5.88  4.62 999 1027.0  -2.1   5.0  -7.4 99.0 99.00
2001 01 03 11 319 10.5 14.4  1.63  5.00  4.38 999 1026.9  -2.4   4.9  -7.0 99.0 99.00
2001 01 03 12 319 10.6 12.8  1.48  5.00  4.28 999 1027.1  -2.7   5.0  -7.7 99.0 99.00
2001 01 03 13 315 10.0 12.2  1.39  4.55  4.23 999 1027.2  -2.7   5.0  -7.7 99.0 99.00
2001 01 03 14 321  8.7 11.1  1.30  4.76  4.10 999 1027.3  -2.8   5.1  -7.4 99.0 99.00
2001 01 03 15 313  9.2 11.3  1.38  4.55  4.14 999 1027.5  -2.9   5.3  -7.6 99.0 99.00
2001 01 03 16 317  8.5 11.1  1.16  4.76  4.05 999 1026.9  -2.8   5.3  -7.5 99.0 99.00
2001 01 03 17 316  7.9 10.4  1.04  4.35  4.05 999 1026.1  -2.4   5.4  -7.0 99.0 99.00
2001 01 03 18 317  7.0  8.9  1.04  4.35  4.04 999 1025.0  -2.1   5.4  -7.5 99.0 99.00
2001 01 03 19 298  4.3  5.6  0.90  4.55  4.02 999 1024.0  -1.9   5.4  -8.1 99.0 99.00
2001 01 03 20 279  3.7  6.1  0.73  4.55  4.10 999 1023.3  -1.4   5.5  -8.0 99.0 99.00
2001 01 03 21 279  3.3  4.8  0.65  4.35  4.26 999 1023.0  -0.9   5.5  -7.9 99.0 99.00
2001 01 03 22 285  4.7  6.4  0.56 14.29  4.35 999 1022.3  -0.3   5.6  -7.5 99.0 99.00
2001 01 03 23 264  4.6  6.1  0.49 14.29  4.28 999 1022.2  -0.2   5.6  -7.3 99.0 99.00
2001 01 04 00 280  5.3  6.4  0.53 14.29  4.58 999 1022.2  -0.1   5.5  -7.6 99.0 99.00
